Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.15904698,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.877733e+05,-7.953339e+01
1.877907e+05,-7.951275e+01
1.878080e+05,-7.955821e+01
1.878253e+05,-7.972258e+01
1.878427e+05,-7.987691e+01
1.878600e+05,-7.994932e+01
1.878773e+05,-7.994680e+01
1.878947e+05,-7.986082e+01
1.879120e+05,-7.980460e+01
1.879293e+05,-7.977368e+01
1.879467e+05,-7.980897e+01
1.879640e+05,-7.988067e+01
1.879813e+05,-7.977975e+01
1.879987e+05,-7.962845e+01
1.880160e+05,-7.969999e+01
1.880333e+05,-7.984900e+01
1.880507e+05,-7.995001e+01
1.880680e+05,-8.004918e+01
1.880853e+05,-8.014163e+01
1.881027e+05,-8.020571e+01
1.881200e+05,-8.022265e+01
1.881373e+05,-8.024325e+01
1.881547e+05,-8.028122e+01
1.881720e+05,-8.018504e+01
1.881893e+05,-7.995315e+01
1.882067e+05,-7.982212e+01
1.882240e+05,-7.974969e+01
1.882413e+05,-7.987895e+01
1.882587e+05,-8.007959e+01
1.882760e+05,-7.986742e+01
1.882933e+05,-7.953880e+01
1.883107e+05,-7.946840e+01
1.883280e+05,-7.950656e+01
1.883453e+05,-7.964517e+01
1.883627e+05,-7.980226e+01
1.883800e+05,-7.990081e+01
1.883973e+05,-7.998890e+01
1.884147e+05,-8.007033e+01
1.884320e+05,-8.003359e+01
1.884493e+05,-7.987135e+01
1.884667e+05,-7.982765e+01
