Y Axis Scale,LOG
1.855720e+05,-7.976713e+01
1.855893e+05,-7.984987e+01
1.856067e+05,-8.001189e+01
1.856240e+05,-8.017472e+01
1.856413e+05,-8.016967e+01
1.856587e+05,-8.007667e+01
1.856760e+05,-7.992088e+01
1.856933e+05,-7.967943e+01
1.857107e+05,-7.934126e+01
1.857280e+05,-7.909249e+01
1.857453e+05,-7.900960e+01
1.857627e+05,-7.908714e+01
1.857800e+05,-7.932858e+01
1.857973e+05,-7.949380e+01
1.858147e+05,-7.962498e+01
1.858320e+05,-7.972714e+01
1.858493e+05,-7.981312e+01
1.858667e+05,-7.995963e+01
1.858840e+05,-8.009690e+01
1.859013e+05,-8.007656e+01
1.859187e+05,-8.002576e+01
1.859360e+05,-8.007878e+01
1.859533e+05,-8.010629e+01
1.859707e+05,-8.003217e+01
1.859880e+05,-7.997069e+01
1.860053e+05,-7.996112e+01
1.860227e+05,-8.002342e+01
1.860400e+05,-8.016360e+01
1.860573e+05,-8.020473e+01
1.860747e+05,-8.017096e+01
1.860920e+05,-8.013455e+01
1.861093e+05,-8.008161e+01
1.861267e+05,-8.005509e+01
1.861440e+05,-8.002990e+01
1.861613e+05,-7.996518e+01
1.861787e+05,-7.991689e+01
1.861960e+05,-7.997141e+01
1.862133e+05,-8.003657e+01
1.862307e+05,-8.004553e+01
1.862480e+05,-8.001034e+01
1.862653e+05,-7.991958e+01
1.862827e+05,-7.984698e+01
1.863000e+05,-7.980593e+01
1.863173e+05,-7.973274e+01
1.863347e+05,-7.963201e+01
1.863520e+05,-7.961925e+01
1.863693e+05,-7.965341e+01
1.863867e+05,-7.965903e+01
1.864040e+05,-7.968611e+01
1.864213e+05,-7.984520e+01
1.864387e+05,-8.007956e+01
1.864560e+05,-8.035015e+01
1.864733e+05,-8.053094e+01
1.864907e+05,-8.043395e+01
1.865080e+05,-8.036407e+01
1.865253e+05,-8.047341e+01
1.865427e+05,-8.056769e+01
1.865600e+05,-8.061723e+01
1.865773e+05,-8.056699e+01
1.865947e+05,-8.042002e+01
1.866120e+05,-8.035882e+01
1.866293e+05,-8.032430e+01
1.866467e+05,-8.014668e+01
1.866640e+05,-7.994095e+01
1.866813e+05,-8.001581e+01
1.866987e+05,-8.020390e+01
1.867160e+05,-8.035360e+01
1.867333e+05,-8.047089e+01
1.867507e+05,-8.047586e+01
1.867680e+05,-8.048483e+01
1.867853e+05,-8.056239e+01
1.868027e+05,-8.051699e+01
1.868200e+05,-8.029500e+01
1.868373e+05,-8.028604e+01
1.868547e+05,-8.049539e+01
1.868720e+05,-8.047053e+01
1.868893e+05,-8.032521e+01
1.869067e+05,-8.045542e+01
1.869240e+05,-8.066348e+01
1.869413e+05,-8.050645e+01
1.869587e+05,-8.026097e+01
1.869760e+05,-8.029007e+01
1.869933e+05,-8.036242e+01
1.870107e+05,-8.032544e+01
1.870280e+05,-8.033494e+01
1.870453e+05,-8.047295e+01
1.870627e+05,-8.041465e+01
1.870800e+05,-8.004169e+01
1.870973e+05,-7.966634e+01
1.871147e+05,-7.930524e+01
1.871320e+05,-7.919234e+01
1.871493e+05,-7.927249e+01
1.871667e+05,-7.938210e+01
1.871840e+05,-7.956957e+01
1.872013e+05,-7.983983e+01
1.872187e+05,-8.009177e+01
1.872360e+05,-7.998752e+01
1.872533e+05,-7.979065e+01
1.872707e+05,-7.975521e+01
1.872880e+05,-7.975042e+01
1.873053e+05,-7.975143e+01
1.873227e+05,-7.975213e+01
1.873400e+05,-7.974342e+01
1.873573e+05,-7.962768e+01
1.873747e+05,-7.939137e+01
1.873920e+05,-7.942800e+01
1.874093e+05,-7.967826e+01
1.874267e+05,-7.975524e+01
1.874440e+05,-7.977518e+01
1.874613e+05,-7.976822e+01
1.874787e+05,-7.974307e+01
1.874960e+05,-7.977280e+01
1.875133e+05,-7.983275e+01
1.875307e+05,-7.992813e+01
1.875480e+05,-7.999610e+01
1.875653e+05,-7.996580e+01
1.875827e+05,-7.987192e+01
1.876000e+05,-7.971534e+01
1.876173e+05,-7.965631e+01
1.876347e+05,-7.972612e+01
1.876520e+05,-7.970814e+01
1.876693e+05,-7.961964e+01
1.876867e+05,-7.956123e+01
1.877040e+05,-7.951586e+01
1.877213e+05,-7.957626e+01
1.877387e+05,-7.968817e+01
1.877560e+05,-7.974901e+01
1.877733e+05,-7.975702e+01
1.877907e+05,-7.961989e+01
1.878080e+05,-7.949310e+01
1.878253e+05,-7.953227e+01
1.878427e+05,-7.962453e+01
1.878600e+05,-7.974105e+01
1.878773e+05,-7.974464e+01
1.878947e+05,-7.959516e+01
1.879120e+05,-7.961356e+01
1.879293e+05,-7.978775e+01
1.879467e+05,-7.986247e+01
1.879640e+05,-7.990822e+01
1.879813e+05,-8.005183e+01
1.879987e+05,-8.020158e+01
1.880160e+05,-8.009830e+01
1.880333e+05,-7.994850e+01
1.880507e+05,-8.005262e+01
1.880680e+05,-8.025755e+01
1.880853e+05,-8.051198e+01
1.881027e+05,-8.060916e+01
1.881200e+05,-8.036811e+01
1.881373e+05,-8.010551e+01
1.881547e+05,-7.989548e+01
1.881720e+05,-7.969469e+01
1.881893e+05,-7.950327e+01
1.882067e+05,-7.946084e+01
1.882240e+05,-7.951856e+01
1.882413e+05,-7.938021e+01
1.882587e+05,-7.919229e+01
1.882760e+05,-7.926340e+01
1.882933e+05,-7.941833e+01
1.883107e+05,-7.945908e+01
1.883280e+05,-7.947760e+01
1.883453e+05,-7.949949e+01
1.883627e+05,-7.954771e+01
1.883800e+05,-7.965290e+01
1.883973e+05,-7.964980e+01
1.884147e+05,-7.947681e+01
1.884320e+05,-7.934148e+01
1.884493e+05,-7.925495e+01
1.884667e+05,-7.923861e+01
1.884840e+05,-7.928065e+01
1.885013e+05,-7.929364e+01
1.885187e+05,-7.930147e+01
1.885360e+05,-7.928216e+01
1.885533e+05,-7.925891e+01
1.885707e+05,-7.928418e+01
1.885880e+05,-7.930477e+01
1.886053e+05,-7.925887e+01
1.886227e+05,-7.922934e+01
1.886400e+05,-7.927436e+01
1.886573e+05,-7.944276e+01
1.886747e+05,-7.977262e+01
1.886920e+05,-7.987012e+01
1.887093e+05,-7.968840e+01
1.887267e+05,-7.942343e+01
1.887440e+05,-7.906136e+01
1.887613e+05,-7.885477e+01
1.887787e+05,-7.873948e+01
1.887960e+05,-7.885978e+01
1.888133e+05,-7.909410e+01
1.888307e+05,-7.916560e+01
1.888480e+05,-7.922104e+01
1.888653e+05,-7.935145e+01
1.888827e+05,-7.945220e+01
1.889000e+05,-7.944559e+01
1.889173e+05,-7.942016e+01
1.889347e+05,-7.940624e+01
1.889520e+05,-7.938075e+01
1.889693e+05,-7.934270e+01
1.889867e+05,-7.945306e+01
1.890040e+05,-7.969541e+01
1.890213e+05,-7.975063e+01
1.890387e+05,-7.973349e+01
1.890560e+05,-7.986118e+01
1.890733e+05,-8.004347e+01
1.890907e+05,-8.020379e+01
1.891080e+05,-8.030119e+01
1.891253e+05,-8.017483e+01
1.891427e+05,-7.995849e+01
1.891600e+05,-7.974207e+01
1.891773e+05,-7.945971e+01
1.891947e+05,-7.909456e+01
1.892120e+05,-7.884525e+01
1.892293e+05,-7.876046e+01
1.892467e+05,-7.881182e+01
1.892640e+05,-7.899873e+01
1.892813e+05,-7.906999e+01
1.892987e+05,-7.909955e+01
1.893160e+05,-7.915938e+01
1.893333e+05,-7.921752e+01
1.893507e+05,-7.922728e+01
1.893680e+05,-7.924189e+01
1.893853e+05,-7.935694e+01
1.894027e+05,-7.949499e+01
1.894200e+05,-7.959785e+01
1.894373e+05,-7.963316e+01
1.894547e+05,-7.955552e+01
1.894720e+05,-7.943785e+01
1.894893e+05,-7.929625e+01
1.895067e+05,-7.926930e+01
1.895240e+05,-7.935804e+01
1.895413e+05,-7.938012e+01
1.895587e+05,-7.936861e+01
1.895760e+05,-7.923582e+01
1.895933e+05,-7.904853e+01
1.896107e+05,-7.902211e+01
1.896280e+05,-7.911977e+01
1.896453e+05,-7.945724e+01
1.896627e+05,-7.987932e+01
1.896800e+05,-8.020469e+01
1.896973e+05,-8.035009e+01
1.897147e+05,-8.017133e+01
1.897320e+05,-7.993971e+01
1.897493e+05,-7.973568e+01
1.897667e+05,-7.959340e+01
1.897840e+05,-7.951843e+01
1.898013e+05,-7.945020e+01
1.898187e+05,-7.939288e+01
1.898360e+05,-7.922030e+01
1.898533e+05,-7.898639e+01
1.898707e+05,-7.878148e+01
1.898880e+05,-7.859712e+01
1.899053e+05,-7.850958e+01
1.899227e+05,-7.852224e+01
1.899400e+05,-7.869461e+01
1.899573e+05,-7.887287e+01
1.899747e+05,-7.892651e+01
1.899920e+05,-7.895237e+01
1.900093e+05,-7.896672e+01
1.900267e+05,-7.900086e+01
1.900440e+05,-7.905987e+01
1.900613e+05,-7.923157e+01
1.900787e+05,-7.949850e+01
1.900960e+05,-7.968655e+01
1.901133e+05,-7.984032e+01
1.901307e+05,-7.989496e+01
1.901480e+05,-7.989839e+01
1.901653e+05,-7.994838e+01
1.901827e+05,-7.997835e+01
1.902000e+05,-7.992608e+01
1.902173e+05,-7.981513e+01
1.902347e+05,-7.964308e+01
1.902520e+05,-7.958806e+01
1.902693e+05,-7.975194e+01
1.902867e+05,-7.980513e+01
1.903040e+05,-7.969773e+01
1.903213e+05,-7.956628e+01
1.903387e+05,-7.940341e+01
1.903560e+05,-7.942475e+01
1.903733e+05,-7.953617e+01
1.903907e+05,-7.947656e+01
1.904080e+05,-7.936365e+01
1.904253e+05,-7.932806e+01
1.904427e+05,-7.930277e+01
1.904600e+05,-7.924338e+01
1.904773e+05,-7.918821e+01
1.904947e+05,-7.916366e+01
1.905120e+05,-7.915233e+01
1.905293e+05,-7.915065e+01
1.905467e+05,-7.907612e+01
1.905640e+05,-7.890748e+01
1.905813e+05,-7.883043e+01
1.905987e+05,-7.883663e+01
1.906160e+05,-7.891776e+01
1.906333e+05,-7.906655e+01
1.906507e+05,-7.922111e+01
1.906680e+05,-7.938533e+01
1.906853e+05,-7.947746e+01
1.907027e+05,-7.948009e+01
1.907200e+05,-7.927165e+01
1.907373e+05,-7.910613e+01
1.907547e+05,-7.928254e+01
1.907720e+05,-7.952329e+01
1.907893e+05,-7.971647e+01
1.908067e+05,-7.986913e+01
1.908240e+05,-7.996446e+01
1.908413e+05,-7.988417e+01
1.908587e+05,-7.962790e+01
1.908760e+05,-7.943909e+01
1.908933e+05,-7.926919e+01
1.909107e+05,-7.920525e+01
1.909280e+05,-7.921969e+01
1.909453e+05,-7.932777e+01
1.909627e+05,-7.945717e+01
1.909800e+05,-7.941208e+01
1.909973e+05,-7.934629e+01
1.910147e+05,-7.938674e+01
1.910320e+05,-7.935104e+01
1.910493e+05,-7.912654e+01
1.910667e+05,-7.897127e+01
1.910840e+05,-7.896550e+01
1.911013e+05,-7.890462e+01
1.911187e+05,-7.877988e+01
1.911360e+05,-7.872271e+01
1.911533e+05,-7.871395e+01
1.911707e+05,-7.880536e+01
1.911880e+05,-7.894938e+01
1.912053e+05,-7.894559e+01
1.912227e+05,-7.885905e+01
1.912400e+05,-7.867473e+01
1.912573e+05,-7.845200e+01
1.912747e+05,-7.828884e+01
1.912920e+05,-7.812661e+01
1.913093e+05,-7.794797e+01
1.913267e+05,-7.789648e+01
1.913440e+05,-7.803712e+01
1.913613e+05,-7.820073e+01
1.913787e+05,-7.837226e+01
1.913960e+05,-7.848776e+01
1.914133e+05,-7.855880e+01
1.914307e+05,-7.853415e+01
1.914480e+05,-7.844579e+01
1.914653e+05,-7.840973e+01
1.914827e+05,-7.838652e+01
1.915000e+05,-7.837673e+01
1.915173e+05,-7.839742e+01
1.915347e+05,-7.848388e+01
1.915520e+05,-7.861969e+01
1.915693e+05,-7.880271e+01
1.915867e+05,-7.890904e+01
1.916040e+05,-7.886764e+01
1.916213e+05,-7.883509e+01
1.916387e+05,-7.883203e+01
1.916560e+05,-7.875466e+01
1.916733e+05,-7.861207e+01
1.916907e+05,-7.851822e+01
1.917080e+05,-7.843566e+01
1.917253e+05,-7.831986e+01
1.917427e+05,-7.823028e+01
1.917600e+05,-7.835726e+01
1.917773e+05,-7.853735e+01
1.917947e+05,-7.855554e+01
1.918120e+05,-7.849922e+01
1.918293e+05,-7.836908e+01
1.918467e+05,-7.823576e+01
1.918640e+05,-7.814628e+01
1.918813e+05,-7.798530e+01
1.918987e+05,-7.773080e+01
1.919160e+05,-7.758578e+01
1.919333e+05,-7.754039e+01
1.919507e+05,-7.747123e+01
1.919680e+05,-7.739541e+01
1.919853e+05,-7.715895e+01
1.920027e+05,-7.690004e+01
1.920200e+05,-7.704658e+01
1.920373e+05,-7.735028e+01
1.920547e+05,-7.756827e+01
1.920720e+05,-7.782546e+01
1.920893e+05,-7.816326e+01
1.921067e+05,-7.843619e+01
1.921240e+05,-7.854706e+01
1.921413e+05,-7.867361e+01
1.921587e+05,-7.885593e+01
1.921760e+05,-7.876348e+01
1.921933e+05,-7.839662e+01
1.922107e+05,-7.831383e+01
1.922280e+05,-7.837160e+01
1.922453e+05,-7.825669e+01
1.922627e+05,-7.809633e+01
1.922800e+05,-7.806244e+01
1.922973e+05,-7.807570e+01
1.923147e+05,-7.808243e+01
1.923320e+05,-7.815488e+01
1.923493e+05,-7.837605e+01
1.923667e+05,-7.860603e+01
1.923840e+05,-7.875390e+01
1.924013e+05,-7.885408e+01
1.924187e+05,-7.890197e+01
1.924360e+05,-7.892459e+01
1.924533e+05,-7.892325e+01
1.924707e+05,-7.889823e+01
1.924880e+05,-7.884878e+01
1.925053e+05,-7.877413e+01
1.925227e+05,-7.868262e+01
1.925400e+05,-7.862879e+01
1.925573e+05,-7.858864e+01
1.925747e+05,-7.854562e+01
1.925920e+05,-7.846822e+01
1.926093e+05,-7.828802e+01
1.926267e+05,-7.805129e+01
1.926440e+05,-7.777525e+01
1.926613e+05,-7.758206e+01
1.926787e+05,-7.753374e+01
1.926960e+05,-7.764216e+01
1.927133e+05,-7.791312e+01
1.927307e+05,-7.801166e+01
1.927480e+05,-7.799046e+01
1.927653e+05,-7.797540e+01
1.927827e+05,-7.793925e+01
1.928000e+05,-7.792944e+01
1.928173e+05,-7.795349e+01
1.928347e+05,-7.809947e+01
1.928520e+05,-7.826833e+01
1.928693e+05,-7.832589e+01
1.928867e+05,-7.833166e+01
1.929040e+05,-7.829012e+01
1.929213e+05,-7.824206e+01
1.929387e+05,-7.821157e+01
1.929560e+05,-7.821304e+01
1.929733e+05,-7.825149e+01
1.929907e+05,-7.820983e+01
1.930080e+05,-7.810123e+01
1.930253e+05,-7.810459e+01
1.930427e+05,-7.815637e+01
1.930600e+05,-7.814651e+01
1.930773e+05,-7.810668e+01
1.930947e+05,-7.801440e+01
1.931120e+05,-7.792444e+01
1.931293e+05,-7.794265e+01
1.931467e+05,-7.803457e+01
1.931640e+05,-7.821084e+01
1.931813e+05,-7.827216e+01
1.931987e+05,-7.809104e+01
1.932160e+05,-7.806823e+01
1.932333e+05,-7.828330e+01
1.932507e+05,-7.842830e+01
1.932680e+05,-7.851687e+01
1.932853e+05,-7.842481e+01
1.933027e+05,-7.821236e+01
1.933200e+05,-7.810641e+01
1.933373e+05,-7.803565e+01
1.933547e+05,-7.801548e+01
1.933720e+05,-7.801896e+01
1.933893e+05,-7.799145e+01
1.934067e+05,-7.797973e+01
1.934240e+05,-7.801964e+01
1.934413e+05,-7.803904e+01
1.934587e+05,-7.799541e+01
1.934760e+05,-7.798366e+01
1.934933e+05,-7.802636e+01
1.935107e+05,-7.796000e+01
1.935280e+05,-7.778535e+01
1.935453e+05,-7.774295e+01
1.935627e+05,-7.777707e+01
1.935800e+05,-7.785974e+01
1.935973e+05,-7.798224e+01
1.936147e+05,-7.805456e+01
1.936320e+05,-7.810040e+01
1.936493e+05,-7.809625e+01
1.936667e+05,-7.808535e+01
1.936840e+05,-7.812229e+01
1.937013e+05,-7.809399e+01
1.937187e+05,-7.792301e+01
1.937360e+05,-7.769993e+01
1.937533e+05,-7.744457e+01
1.937707e+05,-7.728745e+01
1.937880e+05,-7.723577e+01
1.938053e+05,-7.731708e+01
1.938227e+05,-7.750892e+01
1.938400e+05,-7.750862e+01
1.938573e+05,-7.743563e+01
1.938747e+05,-7.744568e+01
1.938920e+05,-7.751023e+01
1.939093e+05,-7.771248e+01
1.939267e+05,-7.799435e+01
1.939440e+05,-7.830848e+01
1.939613e+05,-7.858295e+01
1.939787e+05,-7.872706e+01
1.939960e+05,-7.876583e+01
1.940133e+05,-7.869014e+01
1.940307e+05,-7.856476e+01
1.940480e+05,-7.839608e+01
1.940653e+05,-7.841299e+01
1.940827e+05,-7.856746e+01
1.941000e+05,-7.842285e+01
1.941173e+05,-7.813034e+01
1.941347e+05,-7.783813e+01
1.941520e+05,-7.755920e+01
1.941693e+05,-7.752772e+01
1.941867e+05,-7.763122e+01
1.942040e+05,-7.781976e+01
1.942213e+05,-7.796538e+01
1.942387e+05,-7.790223e+01
1.942560e+05,-7.771189e+01
1.942733e+05,-7.739600e+01
1.942907e+05,-7.718723e+01
1.943080e+05,-7.712538e+01
1.943253e+05,-7.700059e+01
1.943427e+05,-7.683333e+01
1.943600e+05,-7.689140e+01
1.943773e+05,-7.706751e+01
1.943947e+05,-7.708451e+01
1.944120e+05,-7.707975e+01
1.944293e+05,-7.723821e+01
1.944467e+05,-7.741058e+01
1.944640e+05,-7.741344e+01
1.944813e+05,-7.732137e+01
1.944987e+05,-7.713464e+01
1.945160e+05,-7.703229e+01
1.945333e+05,-7.713049e+01
1.945507e+05,-7.715968e+01
1.945680e+05,-7.707155e+01
1.945853e+05,-7.709331e+01
1.946027e+05,-7.721370e+01
1.946200e+05,-7.730594e+01
1.946373e+05,-7.738863e+01
1.946547e+05,-7.731041e+01
1.946720e+05,-7.715551e+01
1.946893e+05,-7.708707e+01
1.947067e+05,-7.707735e+01
1.947240e+05,-7.720513e+01
1.947413e+05,-7.730747e+01
1.947587e+05,-7.719820e+01
1.947760e+05,-7.706967e+01
1.947933e+05,-7.700369e+01
1.948107e+05,-7.691936e+01
1.948280e+05,-7.680529e+01
1.948453e+05,-7.678359e+01
1.948627e+05,-7.685323e+01
1.948800e+05,-7.698277e+01
1.948973e+05,-7.716583e+01
1.949147e+05,-7.723001e+01
1.949320e+05,-7.722916e+01
1.949493e+05,-7.715046e+01
1.949667e+05,-7.701432e+01
1.949840e+05,-7.686599e+01
1.950013e+05,-7.677529e+01
1.950187e+05,-7.688098e+01
1.950360e+05,-7.707453e+01
1.950533e+05,-7.731464e+01
1.950707e+05,-7.750180e+01
1.950880e+05,-7.758996e+01
1.951053e+05,-7.752420e+01
1.951227e+05,-7.730053e+01
1.951400e+05,-7.710027e+01
1.951573e+05,-7.690047e+01
1.951747e+05,-7.695996e+01
1.951920e+05,-7.717206e+01
1.952093e+05,-7.739436e+01
1.952267e+05,-7.764074e+01
1.952440e+05,-7.779626e+01
1.952613e+05,-7.786774e+01
1.952787e+05,-7.778929e+01
1.952960e+05,-7.772273e+01
1.953133e+05,-7.779874e+01
1.953307e+05,-7.779581e+01
1.953480e+05,-7.764130e+01
1.953653e+05,-7.758537e+01
1.953827e+05,-7.764918e+01
1.954000e+05,-7.763468e+01
1.954173e+05,-7.757037e+01
1.954347e+05,-7.754167e+01
1.954520e+05,-7.753989e+01
1.954693e+05,-7.768236e+01
1.954867e+05,-7.786731e+01
1.955040e+05,-7.787051e+01
1.955213e+05,-7.782443e+01
1.955387e+05,-7.782564e+01
1.955560e+05,-7.782928e+01
1.955733e+05,-7.783002e+01
1.955907e+05,-7.781664e+01
1.956080e+05,-7.778160e+01
1.956253e+05,-7.772281e+01
1.956427e+05,-7.763920e+01
1.956600e+05,-7.760041e+01
1.956773e+05,-7.759781e+01
1.956947e+05,-7.753889e+01
1.957120e+05,-7.746018e+01
1.957293e+05,-7.745270e+01
1.957467e+05,-7.745732e+01
1.957640e+05,-7.735584e+01
1.957813e+05,-7.723386e+01
1.957987e+05,-7.718550e+01
1.958160e+05,-7.718257e+01
1.958333e+05,-7.723756e+01
1.958507e+05,-7.737291e+01
1.958680e+05,-7.760672e+01
1.958853e+05,-7.767302e+01
1.959027e+05,-7.751267e+01
1.959200e+05,-7.748137e+01
1.959373e+05,-7.755948e+01
1.959547e+05,-7.754651e+01
1.959720e+05,-7.749558e+01
1.959893e+05,-7.744928e+01
1.960067e+05,-7.740264e+01
1.960240e+05,-7.739741e+01
1.960413e+05,-7.741543e+01
1.960587e+05,-7.744902e+01
1.960760e+05,-7.754010e+01
1.960933e+05,-7.774318e+01
1.961107e+05,-7.799812e+01
1.961280e+05,-7.827844e+01
1.961453e+05,-7.835637e+01
1.961627e+05,-7.815903e+01
1.961800e+05,-7.804075e+01
1.961973e+05,-7.799758e+01
1.962147e+05,-7.785771e+01
1.962320e+05,-7.766187e+01
1.962493e+05,-7.751381e+01
1.962667e+05,-7.740708e+01
1.962840e+05,-7.748659e+01
1.963013e+05,-7.770862e+01
1.963187e+05,-7.809505e+01
1.963360e+05,-7.836195e+01
1.963533e+05,-7.807599e+01
1.963707e+05,-7.774997e+01
1.963880e+05,-7.765902e+01
1.964053e+05,-7.764088e+01
1.964227e+05,-7.768758e+01
1.964400e+05,-7.784370e+01
1.964573e+05,-7.811084e+01
1.964747e+05,-7.834870e+01
1.964920e+05,-7.857735e+01
1.965093e+05,-7.862527e+01
1.965267e+05,-7.857366e+01
1.965440e+05,-7.858146e+01
1.965613e+05,-7.858088e+01
1.965787e+05,-7.853269e+01
1.965960e+05,-7.842322e+01
1.966133e+05,-7.820193e+01
1.966307e+05,-7.797519e+01
1.966480e+05,-7.782506e+01
1.966653e+05,-7.774030e+01
1.966827e+05,-7.773422e+01
1.967000e+05,-7.773530e+01
1.967173e+05,-7.773726e+01
1.967347e+05,-7.778601e+01
1.967520e+05,-7.787531e+01
1.967693e+05,-7.799000e+01
1.967867e+05,-7.812419e+01
1.968040e+05,-7.820117e+01
1.968213e+05,-7.823069e+01
1.968387e+05,-7.815298e+01
1.968560e+05,-7.805043e+01
1.968733e+05,-7.804159e+01
1.968907e+05,-7.807589e+01
1.969080e+05,-7.815186e+01
1.969253e+05,-7.813653e+01
1.969427e+05,-7.795749e+01
1.969600e+05,-7.772372e+01
1.969773e+05,-7.744577e+01
1.969947e+05,-7.718207e+01
1.970120e+05,-7.692442e+01
1.970293e+05,-7.667755e+01
1.970467e+05,-7.645075e+01
1.970640e+05,-7.635939e+01
1.970813e+05,-7.637492e+01
1.970987e+05,-7.653985e+01
1.971160e+05,-7.685315e+01
1.971333e+05,-7.734726e+01
1.971507e+05,-7.780418e+01
1.971680e+05,-7.797085e+01
1.971853e+05,-7.810257e+01
1.972027e+05,-7.828708e+01
1.972200e+05,-7.825708e+01
1.972373e+05,-7.796329e+01
1.972547e+05,-7.774193e+01
1.972720e+05,-7.757296e+01
1.972893e+05,-7.769433e+01
1.973067e+05,-7.798845e+01
1.973240e+05,-7.798911e+01
1.973413e+05,-7.791026e+01
1.973587e+05,-7.803377e+01
1.973760e+05,-7.822706e+01
1.973933e+05,-7.841405e+01
1.974107e+05,-7.863553e+01
1.974280e+05,-7.890606e+01
1.974453e+05,-7.911446e+01
1.974627e+05,-7.918399e+01
1.974800e+05,-7.915220e+01
1.974973e+05,-7.901798e+01
1.975147e+05,-7.879556e+01
1.975320e+05,-7.848472e+01
1.975493e+05,-7.838161e+01
1.975667e+05,-7.841150e+01
1.975840e+05,-7.857629e+01
1.976013e+05,-7.879450e+01
1.976187e+05,-7.863682e+01
1.976360e+05,-7.833898e+01
1.976533e+05,-7.813341e+01
1.976707e+05,-7.801926e+01
1.976880e+05,-7.813670e+01
1.977053e+05,-7.835485e+01
1.977227e+05,-7.861512e+01
1.977400e+05,-7.874762e+01
1.977573e+05,-7.867830e+01
1.977747e+05,-7.848063e+01
1.977920e+05,-7.815538e+01
1.978093e+05,-7.803002e+01
1.978267e+05,-7.802806e+01
1.978440e+05,-7.799244e+01
1.978613e+05,-7.798120e+01
1.978787e+05,-7.806939e+01
1.978960e+05,-7.822788e+01
1.979133e+05,-7.844748e+01
1.979307e+05,-7.862457e+01
1.979480e+05,-7.857175e+01
1.979653e+05,-7.845045e+01
1.979827e+05,-7.833878e+01
1.980000e+05,-7.819810e+01
Trace Name,Trace B
Trace Type,Blank
Trace Name,Trace C
Trace Type,Blank
Trace Name,Trace D
Trace Type,Blank
