Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.26250930,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.877733e+05,-7.977840e+01
1.877907e+05,-7.961121e+01
1.878080e+05,-7.948150e+01
1.878253e+05,-7.945645e+01
1.878427e+05,-7.947709e+01
1.878600e+05,-7.952391e+01
1.878773e+05,-7.945422e+01
1.878947e+05,-7.922776e+01
1.879120e+05,-7.921258e+01
1.879293e+05,-7.939461e+01
1.879467e+05,-7.943396e+01
1.879640e+05,-7.943586e+01
1.879813e+05,-7.970218e+01
1.879987e+05,-8.005329e+01
1.880160e+05,-8.007376e+01
1.880333e+05,-8.004746e+01
1.880507e+05,-8.033128e+01
1.880680e+05,-8.061529e+01
1.880853e+05,-8.064945e+01
1.881027e+05,-8.046481e+01
1.881200e+05,-7.999864e+01
1.881373e+05,-7.962836e+01
1.881547e+05,-7.946915e+01
1.881720e+05,-7.930970e+01
1.881893e+05,-7.914864e+01
1.882067e+05,-7.919840e+01
1.882240e+05,-7.939001e+01
1.882413e+05,-7.929442e+01
1.882587e+05,-7.909172e+01
1.882760e+05,-7.903865e+01
1.882933e+05,-7.905265e+01
1.883107e+05,-7.915718e+01
1.883280e+05,-7.936054e+01
1.883453e+05,-7.969150e+01
1.883627e+05,-7.986590e+01
1.883800e+05,-7.963883e+01
1.883973e+05,-7.949956e+01
1.884147e+05,-7.959859e+01
1.884320e+05,-7.965129e+01
1.884493e+05,-7.964536e+01
1.884667e+05,-7.961422e+01
1.884840e+05,-7.955642e+01
1.885013e+05,-7.946558e+01
1.885187e+05,-7.934757e+01
1.885360e+05,-7.922976e+01
1.885533e+05,-7.909982e+01
1.885707e+05,-7.894813e+01
1.885880e+05,-7.881656e+01
1.886053e+05,-7.877611e+01
1.886227e+05,-7.884633e+01
1.886400e+05,-7.907786e+01
1.886573e+05,-7.933836e+01
1.886747e+05,-7.957463e+01
1.886920e+05,-7.963102e+01
1.887093e+05,-7.948363e+01
1.887267e+05,-7.917470e+01
1.887440e+05,-7.871261e+01
1.887613e+05,-7.858983e+01
1.887787e+05,-7.865076e+01
1.887960e+05,-7.888006e+01
1.888133e+05,-7.920860e+01
1.888307e+05,-7.935213e+01
1.888480e+05,-7.944546e+01
1.888653e+05,-7.954903e+01
1.888827e+05,-7.956530e+01
1.889000e+05,-7.941023e+01
1.889173e+05,-7.925029e+01
1.889347e+05,-7.915942e+01
1.889520e+05,-7.906903e+01
1.889693e+05,-7.897430e+01
1.889867e+05,-7.894636e+01
1.890040e+05,-7.897869e+01
1.890213e+05,-7.902121e+01
1.890387e+05,-7.908616e+01
1.890560e+05,-7.915934e+01
1.890733e+05,-7.928061e+01
1.890907e+05,-7.960315e+01
1.891080e+05,-7.993436e+01
1.891253e+05,-7.995536e+01
1.891427e+05,-7.983757e+01
1.891600e+05,-7.963701e+01
1.891773e+05,-7.941323e+01
1.891947e+05,-7.922391e+01
1.892120e+05,-7.911880e+01
1.892293e+05,-7.911886e+01
1.892467e+05,-7.911948e+01
1.892640e+05,-7.912465e+01
1.892813e+05,-7.916030e+01
1.892987e+05,-7.921945e+01
1.893160e+05,-7.927132e+01
1.893333e+05,-7.932356e+01
1.893507e+05,-7.936415e+01
1.893680e+05,-7.939139e+01
1.893853e+05,-7.938953e+01
1.894027e+05,-7.939964e+01
1.894200e+05,-7.947279e+01
1.894373e+05,-7.950372e+01
1.894547e+05,-7.942790e+01
1.894720e+05,-7.938526e+01
1.894893e+05,-7.941062e+01
1.895067e+05,-7.932721e+01
1.895240e+05,-7.913399e+01
1.895413e+05,-7.902897e+01
1.895587e+05,-7.896848e+01
1.895760e+05,-7.891811e+01
1.895933e+05,-7.890291e+01
1.896107e+05,-7.901392e+01
1.896280e+05,-7.917663e+01
1.896453e+05,-7.926587e+01
1.896627e+05,-7.936822e+01
1.896800e+05,-7.954633e+01
1.896973e+05,-7.968445e+01
1.897147e+05,-7.970344e+01
1.897320e+05,-7.965313e+01
1.897493e+05,-7.953753e+01
1.897667e+05,-7.929039e+01
1.897840e+05,-7.890772e+01
1.898013e+05,-7.871177e+01
1.898187e+05,-7.864057e+01
1.898360e+05,-7.862882e+01
1.898533e+05,-7.866715e+01
1.898707e+05,-7.858017e+01
1.898880e+05,-7.847069e+01
1.899053e+05,-7.847884e+01
1.899227e+05,-7.858031e+01
1.899400e+05,-7.882826e+01
1.899573e+05,-7.904216e+01
1.899747e+05,-7.906171e+01
1.899920e+05,-7.903294e+01
1.900093e+05,-7.898901e+01
1.900267e+05,-7.899319e+01
1.900440e+05,-7.905575e+01
1.900613e+05,-7.911180e+01
1.900787e+05,-7.916672e+01
1.900960e+05,-7.912583e+01
1.901133e+05,-7.903543e+01
1.901307e+05,-7.902489e+01
1.901480e+05,-7.905071e+01
1.901653e+05,-7.911505e+01
1.901827e+05,-7.921535e+01
1.902000e+05,-7.934799e+01
1.902173e+05,-7.944939e+01
1.902347e+05,-7.944496e+01
1.902520e+05,-7.952547e+01
1.902693e+05,-7.978053e+01
1.902867e+05,-7.976589e+01
1.903040e+05,-7.940912e+01
1.903213e+05,-7.916002e+01
1.903387e+05,-7.898151e+01
1.903560e+05,-7.888597e+01
1.903733e+05,-7.886297e+01
1.903907e+05,-7.894138e+01
1.904080e+05,-7.907894e+01
1.904253e+05,-7.913494e+01
1.904427e+05,-7.917280e+01
1.904600e+05,-7.922013e+01
1.904773e+05,-7.918974e+01
1.904947e+05,-7.898338e+01
1.905120e+05,-7.890190e+01
1.905293e+05,-7.911690e+01
1.905467e+05,-7.933018e+01
1.905640e+05,-7.949058e+01
1.905813e+05,-7.956899e+01
1.905987e+05,-7.956907e+01
1.906160e+05,-7.959081e+01
1.906333e+05,-7.960544e+01
1.906507e+05,-7.957258e+01
1.906680e+05,-7.951849e+01
1.906853e+05,-7.950927e+01
1.907027e+05,-7.947575e+01
1.907200e+05,-7.929995e+01
1.907373e+05,-7.914059e+01
1.907547e+05,-7.916038e+01
1.907720e+05,-7.921798e+01
1.907893e+05,-7.926001e+01
1.908067e+05,-7.934875e+01
1.908240e+05,-7.949520e+01
1.908413e+05,-7.950167e+01
1.908587e+05,-7.936763e+01
1.908760e+05,-7.927804e+01
1.908933e+05,-7.920038e+01
1.909107e+05,-7.923053e+01
1.909280e+05,-7.932883e+01
1.909453e+05,-7.945380e+01
1.909627e+05,-7.954484e+01
1.909800e+05,-7.938176e+01
1.909973e+05,-7.921362e+01
1.910147e+05,-7.930713e+01
1.910320e+05,-7.931520e+01
1.910493e+05,-7.903305e+01
1.910667e+05,-7.886818e+01
1.910840e+05,-7.894191e+01
1.911013e+05,-7.902338e+01
1.911187e+05,-7.910396e+01
1.911360e+05,-7.906222e+01
1.911533e+05,-7.893347e+01
1.911707e+05,-7.891160e+01
1.911880e+05,-7.891262e+01
1.912053e+05,-7.877142e+01
1.912227e+05,-7.860786e+01
1.912400e+05,-7.862855e+01
1.912573e+05,-7.868058e+01
1.912747e+05,-7.862818e+01
1.912920e+05,-7.857121e+01
1.913093e+05,-7.855238e+01
1.913267e+05,-7.855752e+01
1.913440e+05,-7.858984e+01
1.913613e+05,-7.864351e+01
1.913787e+05,-7.871807e+01
1.913960e+05,-7.872793e+01
1.914133e+05,-7.868468e+01
1.914307e+05,-7.853345e+01
1.914480e+05,-7.830534e+01
1.914653e+05,-7.809965e+01
1.914827e+05,-7.788781e+01
1.915000e+05,-7.768981e+01
1.915173e+05,-7.759790e+01
1.915347e+05,-7.781607e+01
1.915520e+05,-7.811684e+01
1.915693e+05,-7.833741e+01
1.915867e+05,-7.851539e+01
1.916040e+05,-7.862848e+01
1.916213e+05,-7.874058e+01
1.916387e+05,-7.886083e+01
1.916560e+05,-7.882791e+01
1.916733e+05,-7.865882e+01
1.916907e+05,-7.859102e+01
1.917080e+05,-7.854101e+01
1.917253e+05,-7.836615e+01
1.917427e+05,-7.815012e+01
1.917600e+05,-7.804616e+01
1.917773e+05,-7.800745e+01
1.917947e+05,-7.805540e+01
1.918120e+05,-7.808556e+01
1.918293e+05,-7.797525e+01
1.918467e+05,-7.788620e+01
1.918640e+05,-7.788839e+01
1.918813e+05,-7.786532e+01
1.918987e+05,-7.779787e+01
1.919160e+05,-7.777183e+01
1.919333e+05,-7.778350e+01
1.919507e+05,-7.773931e+01
1.919680e+05,-7.765755e+01
1.919853e+05,-7.746358e+01
1.920027e+05,-7.726251e+01
1.920200e+05,-7.744855e+01
1.920373e+05,-7.777942e+01
1.920547e+05,-7.799658e+01
1.920720e+05,-7.816275e+01
1.920893e+05,-7.822095e+01
1.921067e+05,-7.818249e+01
1.921240e+05,-7.803659e+01
1.921413e+05,-7.804331e+01
1.921587e+05,-7.828342e+01
1.921760e+05,-7.842745e+01
1.921933e+05,-7.847573e+01
1.922107e+05,-7.851752e+01
1.922280e+05,-7.853928e+01
1.922453e+05,-7.854139e+01
1.922627e+05,-7.853427e+01
1.922800e+05,-7.858076e+01
