Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-07,,,
Filter Frequency,2e+08,,,
Record Length,1.25e+06,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH4,CH4 Peak Detect
8.820160e-03,-1,-1,0.7,0.7
8.820320e-03,-1,-0.92,0.7,0.74
8.820480e-03,-1,-1,0.7,0.7
8.820640e-03,-0.92,-0.92,0.7,0.74
8.820800e-03,-0.92,-1,0.74,0.7
8.820960e-03,-1,-0.92,0.74,0.74
8.821120e-03,-1,-1,0.7,0.7
8.821280e-03,-1,-0.92,0.74,0.74
8.821440e-03,-1,-1,0.7,0.7
8.821600e-03,-1,-0.92,0.74,0.74
8.821760e-03,-0.92,-1,0.74,0.7
8.821920e-03,-1,-0.92,0.7,0.74
8.822080e-03,-1,-1,0.7,0.7
8.822240e-03,-1,-0.92,0.7,0.74
8.822400e-03,-1,-1,0.7,0.7
8.822560e-03,-1,-0.92,0.7,0.74
8.822720e-03,-1,-1,0.7,0.7
8.822880e-03,-1,-0.92,0.7,0.74
8.823040e-03,-1,-1,0.74,0.7
8.823200e-03,-1,-0.92,0.74,0.74
8.823360e-03,-1,-1,0.74,0.7
8.823520e-03,-1,-0.92,0.74,0.74
8.823680e-03,-1,-1,0.7,0.7
8.823840e-03,-1,-0.92,0.74,0.74
8.824000e-03,-1,-1,0.7,0.7
8.824160e-03,-1,-0.92,0.7,0.74
8.824320e-03,-1,-1,0.74,0.7
8.824480e-03,-1,-0.92,0.74,0.74
8.824640e-03,-1,-1,0.7,0.7
8.824800e-03,-1,-0.92,0.7,0.74
8.824960e-03,-0.92,-1,0.7,0.7
8.825120e-03,-1,-0.92,0.7,0.74
8.825280e-03,-1,-1,0.74,0.7
8.825440e-03,-1,-0.92,0.7,0.74
8.825600e-03,-1,-1,0.74,0.7
8.825760e-03,-1,-0.92,0.7,0.74
8.825920e-03,-1,-1,0.7,0.7
8.826080e-03,-1,-0.92,0.7,0.74
8.826240e-03,-1,-1,0.7,0.7
8.826400e-03,-1,-0.92,0.7,0.74
8.826560e-03,-1,-1,0.7,0.7
8.826720e-03,-1,-0.92,0.7,0.74
8.826880e-03,-1,-1,0.74,0.7
8.827040e-03,-1,-0.92,0.74,0.74
8.827200e-03,-1,-1.08,0.7,0.7
8.827360e-03,-1,-0.92,0.7,0.74
