B_g,delta_wn_cm_inv,mean,std,count,sigma_robust
200.0,0.05717409279181537,0.06245293409240338,0.04572199507748432,28,0.03119242712224477
1500.0,0.06481443496062735,0.06258659349027447,0.032535482570456686,24,0.03659196349974887
2970.0,0.08763781517893512,0.08641409433780728,0.04008202719343291,26,0.03480832453951808
4019.9999999999995,0.08175388592832644,0.1118811134104611,0.083472216669973,23,0.08765696040756381
5970.0,0.08627142631472257,0.12769391979417039,0.09106571196013835,28,0.11157983849842663
7350.0,0.08484973657692839,0.11264376859819883,0.08284189825008925,23,0.08598708016589679
9300.0,0.06891316241626828,0.11895684459247433,0.09397785752944121,20,0.1233508208032204
